SEASON_YEAR,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,TEAM_ID
1996-97,105.4,98.9,6.5,0.554,1.27,15.6,0.315,0.692,0.508,0.167,0.498,0.542,87.04,0.539,1610612737
1996-97,100.8,108.8,-8,0.584,1.34,16.2,0.294,0.685,0.475,0.164,0.474,0.52,95.24,0.434,1610612738
1996-97,102,99.4,2.6,0.634,1.44,17.8,0.294,0.719,0.503,0.169,0.493,0.531,82.21,0.512,1610612739
1996-97,111.1,99.2,12,0.654,1.93,19.5,0.359,0.693,0.529,0.146,0.511,0.547,89.94,0.586,1610612741
1996-97,98,105.7,-7.7,0.591,1.26,16.2,0.3,0.673,0.484,0.175,0.469,0.509,88.6,0.449,1610612742
1996-97,101.2,108.2,-7,0.644,1.39,17.5,0.288,0.693,0.493,0.171,0.486,0.53,92.21,0.461,1610612743
1996-97,104.1,108.9,-4.8,0.608,1.29,16.9,0.323,0.675,0.499,0.18,0.493,0.543,91.76,0.464,1610612744
1996-97,105.8,101.4,4.4,0.663,1.47,18.7,0.284,0.714,0.51,0.175,0.52,0.56,91.39,0.536,1610612745
1996-97,101.8,104.9,-3.1,0.556,1.27,15.7,0.308,0.681,0.488,0.167,0.482,0.524,90.83,0.475,1610612746
1996-97,105.2,100.8,4.3,0.611,1.51,17.2,0.316,0.685,0.502,0.157,0.496,0.535,90.74,0.53,1610612747
1996-97,104,97.9,6.1,0.615,1.33,17.1,0.292,0.706,0.503,0.175,0.507,0.546,87.52,0.536,1610612748
1996-97,103.4,105.6,-2.2,0.543,1.25,15.9,0.297,0.699,0.499,0.17,0.496,0.541,88.9,0.477,1610612749
1996-97,102.6,103.7,-1.1,0.638,1.51,17.8,0.288,0.683,0.487,0.162,0.485,0.533,90.39,0.501,1610612750
1996-97,101.4,106.5,-5.1,0.576,1.34,15.7,0.364,0.69,0.518,0.164,0.456,0.499,92.4,0.457,1610612751
1996-97,102.2,97.6,4.6,0.628,1.24,17.3,0.305,0.734,0.527,0.191,0.501,0.546,89.56,0.537,1610612752
1996-97,102.3,103.3,-1,0.595,1.35,16.4,0.309,0.673,0.486,0.166,0.481,0.524,88.34,0.486,1610612753
1996-97,103,101.8,1.2,0.614,1.31,16.9,0.313,0.704,0.512,0.176,0.49,0.537,88.24,0.504,1610612754
1996-97,101.4,108.4,-6.9,0.564,1.18,15.3,0.341,0.665,0.499,0.177,0.47,0.518,95.34,0.453,1610612755
1996-97,106.7,105.5,1.2,0.658,1.75,19,0.271,0.694,0.484,0.149,0.508,0.552,92.97,0.509,1610612756
1996-97,104.6,100.5,4.1,0.57,1.26,16.2,0.325,0.724,0.53,0.175,0.503,0.544,90.46,0.527,1610612757
1996-97,102,105.7,-3.7,0.6,1.35,16.9,0.32,0.685,0.5,0.172,0.485,0.526,90.7,0.471,1610612758
1996-97,100.5,108.8,-8.3,0.588,1.34,16.4,0.324,0.67,0.491,0.168,0.472,0.512,87.13,0.44,1610612759
1996-97,108.2,99.5,8.7,0.644,1.57,18.2,0.309,0.691,0.501,0.161,0.51,0.557,89.82,0.562,1610612760
1996-97,101.3,105.1,-3.7,0.592,1.27,16.2,0.325,0.686,0.5,0.174,0.481,0.521,90.46,0.467,1610612761
1996-97,110.5,101.6,9,0.702,1.75,20.5,0.297,0.716,0.519,0.165,0.531,0.581,88.86,0.59,1610612762
1996-97,97.6,108.9,-11.3,0.661,1.43,17.9,0.297,0.641,0.467,0.174,0.471,0.507,88.23,0.433,1610612763
1996-97,104.1,102,2.1,0.599,1.49,17.9,0.302,0.703,0.505,0.165,0.505,0.54,91.79,0.525,1610612764
1996-97,107.9,101.3,6.6,0.55,1.49,16.2,0.275,0.704,0.494,0.146,0.512,0.554,84.2,0.53,1610612765
1996-97,108,105.6,2.4,0.676,1.68,19.4,0.287,0.681,0.49,0.16,0.518,0.562,88.34,0.528,1610612766
