SEASON_YEAR,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,TEAM_ID
2012-13,102.7,101.8,0.9,0.651,1.65,19,0.222,0.736,0.483,0.156,0.517,0.546,94.72,0.509,1610612737
2012-13,101.1,100.4,0.7,0.614,1.56,18,0.201,0.733,0.475,0.153,0.503,0.542,93.98,0.507,1610612738
2012-13,100.8,106.9,-6.1,0.566,1.47,16.1,0.281,0.726,0.493,0.146,0.473,0.514,94.95,0.45,1610612739
2012-13,102.7,107.6,-5,0.582,1.44,16.8,0.292,0.744,0.514,0.159,0.489,0.528,90.86,0.464,1610612740
2012-13,100.4,100.3,0.1,0.645,1.61,17.9,0.294,0.736,0.512,0.154,0.47,0.512,91.97,0.514,1610612741
2012-13,103.6,104,-0.4,0.599,1.67,17.9,0.218,0.731,0.479,0.143,0.506,0.544,96.25,0.502,1610612742
2012-13,107.6,102,5.6,0.6,1.6,17.9,0.314,0.718,0.52,0.155,0.515,0.549,97.76,0.538,1610612743
2012-13,104.2,102.6,1.7,0.589,1.49,17.3,0.254,0.755,0.513,0.155,0.506,0.545,96.81,0.502,1610612744
2012-13,106.7,103.5,3.3,0.609,1.41,17.4,0.264,0.752,0.51,0.166,0.525,0.564,98.64,0.51,1610612745
2012-13,107.7,101,6.7,0.62,1.64,18.5,0.288,0.735,0.516,0.156,0.526,0.557,93.56,0.548,1610612746
2012-13,105.6,103.6,2,0.598,1.48,17,0.27,0.743,0.512,0.155,0.512,0.548,96.78,0.513,1610612747
2012-13,110.3,100.5,9.9,0.6,1.65,18.5,0.222,0.73,0.49,0.15,0.552,0.588,92.97,0.564,1610612748
2012-13,100.9,102.3,-1.4,0.6,1.62,17.1,0.279,0.713,0.488,0.144,0.476,0.51,97.32,0.488,1610612749
2012-13,100.1,102.9,-2.8,0.624,1.51,17.2,0.274,0.74,0.499,0.155,0.473,0.516,95.22,0.494,1610612750
2012-13,105,103.6,1.4,0.567,1.38,16.2,0.309,0.737,0.522,0.159,0.498,0.536,91.23,0.509,1610612751
2012-13,108.6,103.5,5.1,0.527,1.6,15.8,0.256,0.747,0.493,0.131,0.515,0.55,92.03,0.512,1610612752
2012-13,98.9,106.7,-7.8,0.605,1.57,17.7,0.254,0.746,0.5,0.153,0.485,0.514,94.48,0.459,1610612753
2012-13,101.6,96.6,5,0.578,1.34,16.1,0.303,0.746,0.529,0.162,0.479,0.521,92.84,0.537,1610612754
2012-13,99.5,103,-3.4,0.61,1.74,17.9,0.249,0.734,0.484,0.139,0.481,0.509,93.31,0.474,1610612755
2012-13,98.2,105.7,-7.5,0.606,1.45,17.2,0.27,0.719,0.49,0.161,0.477,0.512,95.95,0.458,1610612756
2012-13,102.7,106.9,-4.2,0.593,1.48,17.1,0.253,0.733,0.49,0.155,0.498,0.536,93.72,0.468,1610612757
2012-13,103,108.6,-5.6,0.553,1.42,16.1,0.266,0.71,0.482,0.15,0.491,0.532,96.34,0.454,1610612758
2012-13,105.9,99.2,6.8,0.641,1.71,19.2,0.205,0.749,0.493,0.151,0.531,0.568,96.36,0.551,1610612759
2012-13,110.2,99.2,11,0.561,1.4,16.7,0.267,0.734,0.517,0.159,0.527,0.58,95.89,0.57,1610612760
2012-13,102.9,104.7,-1.7,0.592,1.57,17,0.255,0.734,0.491,0.145,0.488,0.532,92.94,0.484,1610612761
2012-13,103.6,104.3,-0.7,0.61,1.54,17.5,0.288,0.732,0.507,0.156,0.492,0.533,93.4,0.504,1610612762
2012-13,101.7,97.4,4.2,0.579,1.5,16.6,0.31,0.743,0.522,0.152,0.472,0.514,91.15,0.531,1610612763
2012-13,97.8,100.6,-2.7,0.61,1.43,16.9,0.246,0.746,0.494,0.158,0.475,0.512,94.41,0.481,1610612764
2012-13,100.9,105.6,-4.8,0.585,1.4,16.7,0.283,0.73,0.502,0.161,0.487,0.521,93.21,0.467,1610612765
2012-13,98.3,108.9,-10.6,0.562,1.38,15.4,0.257,0.711,0.478,0.148,0.46,0.507,94.03,0.438,1610612766
