SEASON_YEAR,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,TEAM_ID
2001-02,99.1,103.7,-4.6,0.57,1.3,15.9,0.275,0.709,0.491,0.164,0.471,0.517,94.38,0.465,1610612737
2001-02,101.1,98,3.1,0.604,1.55,16.5,0.241,0.729,0.479,0.143,0.476,0.52,94.99,0.5,1610612738
2001-02,101.7,105,-3.3,0.641,1.58,17.9,0.289,0.728,0.51,0.156,0.477,0.524,92.96,0.482,1610612739
2001-02,95.5,104.8,-9.3,0.646,1.45,17.4,0.266,0.714,0.484,0.163,0.456,0.499,93,0.436,1610612741
2001-02,109.5,104.8,4.7,0.566,1.83,17.1,0.261,0.707,0.487,0.126,0.507,0.553,95.27,0.517,1610612742
2001-02,97.8,104.9,-7.1,0.623,1.51,17,0.306,0.699,0.493,0.156,0.455,0.495,93.26,0.442,1610612743
2001-02,99.3,105.6,-6.3,0.569,1.24,15.4,0.353,0.694,0.519,0.171,0.452,0.499,97.49,0.456,1610612744
2001-02,99.7,105.9,-6.1,0.522,1.28,14.7,0.29,0.698,0.492,0.152,0.465,0.507,90.84,0.458,1610612745
2001-02,102,103.2,-1.2,0.577,1.41,16.3,0.313,0.699,0.508,0.158,0.476,0.519,92.9,0.495,1610612746
2001-02,106.5,98.7,7.8,0.597,1.81,17.6,0.288,0.72,0.506,0.133,0.498,0.534,94.76,0.549,1610612747
2001-02,96,97.6,-1.6,0.594,1.37,16.6,0.266,0.74,0.505,0.163,0.463,0.501,89.73,0.501,1610612748
2001-02,104.2,103.9,0.4,0.607,1.6,17.8,0.256,0.709,0.493,0.151,0.507,0.544,92.76,0.502,1610612749
2001-02,105.8,102.2,3.6,0.628,1.82,18.5,0.313,0.737,0.528,0.143,0.49,0.532,93.29,0.529,1610612750
2001-02,101.1,96.6,4.5,0.654,1.67,18.4,0.292,0.716,0.503,0.152,0.476,0.515,94.54,0.537,1610612751
2001-02,98.6,103,-4.4,0.611,1.44,16.8,0.256,0.719,0.488,0.156,0.468,0.514,92.32,0.466,1610612752
2001-02,104.1,102.5,1.6,0.584,1.61,16.9,0.263,0.692,0.476,0.141,0.493,0.533,95.75,0.497,1610612753
2001-02,101.2,101.1,0.1,0.642,1.51,17.7,0.27,0.71,0.495,0.159,0.477,0.527,94.52,0.51,1610612754
2001-02,99.1,97.5,1.6,0.584,1.3,16,0.317,0.721,0.521,0.167,0.452,0.507,91.5,0.52,1610612755
2001-02,100.2,101,-0.7,0.593,1.53,17.2,0.301,0.702,0.499,0.155,0.472,0.51,94.21,0.486,1610612756
2001-02,104.4,101,3.4,0.641,1.64,18.2,0.318,0.733,0.523,0.154,0.485,0.528,91.98,0.518,1610612757
2001-02,106.4,98.6,7.7,0.6,1.74,17.7,0.279,0.717,0.502,0.14,0.497,0.539,97.99,0.552,1610612758
2001-02,104,96.5,7.5,0.564,1.39,16.1,0.272,0.719,0.503,0.155,0.492,0.539,92.57,0.554,1610612759
2001-02,105.8,102.5,3.4,0.615,1.71,18.4,0.294,0.681,0.491,0.148,0.505,0.54,91.69,0.522,1610612760
2001-02,99.4,100,-0.6,0.609,1.52,17,0.314,0.701,0.501,0.156,0.463,0.501,91.56,0.496,1610612761
2001-02,102.4,101.6,0.8,0.697,1.48,18.5,0.335,0.717,0.525,0.176,0.472,0.529,92.98,0.53,1610612762
2001-02,95.4,103.8,-8.4,0.626,1.33,17,0.278,0.68,0.479,0.174,0.462,0.501,93.5,0.456,1610612763
2001-02,101.5,103.2,-1.7,0.584,1.61,16.7,0.307,0.714,0.508,0.142,0.464,0.508,91.11,0.486,1610612764
2001-02,102.5,99.3,3.3,0.62,1.48,17.4,0.244,0.705,0.476,0.158,0.497,0.54,92.42,0.523,1610612765
2001-02,101.4,100,1.4,0.608,1.53,16.9,0.306,0.722,0.515,0.151,0.466,0.513,92.45,0.513,1610612766
