SEASON_YEAR,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,TEAM_ID
2013-14,103.4,104.1,-0.7,0.667,1.63,19,0.21,0.744,0.479,0.156,0.515,0.554,96.87,0.502,1610612737
2013-14,99.7,105.2,-5.5,0.576,1.37,16.3,0.274,0.742,0.501,0.159,0.477,0.517,95.88,0.461,1610612738
2013-14,101.3,104.8,-3.5,0.572,1.49,16.3,0.272,0.758,0.509,0.146,0.479,0.518,95.68,0.469,1610612739
2013-14,104.7,107.3,-2.6,0.563,1.55,16.6,0.269,0.738,0.5,0.145,0.495,0.537,94.51,0.483,1610612740
2013-14,99.7,97.8,1.9,0.654,1.52,17.7,0.272,0.754,0.517,0.159,0.471,0.518,92.72,0.528,1610612741
2013-14,109,105.9,3,0.596,1.74,18.1,0.246,0.727,0.488,0.141,0.526,0.564,95.74,0.521,1610612742
2013-14,103.3,105.4,-2.1,0.584,1.41,16.5,0.275,0.745,0.509,0.157,0.497,0.536,100.68,0.481,1610612743
2013-14,105.3,99.9,5.4,0.591,1.53,17.5,0.251,0.763,0.511,0.154,0.517,0.55,98.53,0.528,1610612744
2013-14,108.6,103.1,5.5,0.563,1.33,16.2,0.274,0.741,0.521,0.163,0.531,0.571,98.81,0.534,1610612745
2013-14,109.4,102.1,7.3,0.628,1.77,18.4,0.25,0.725,0.496,0.14,0.526,0.567,98.39,0.548,1610612746
2013-14,101.9,107.9,-6,0.639,1.62,18.2,0.202,0.71,0.456,0.15,0.505,0.542,100.98,0.46,1610612747
2013-14,109,102.9,6.1,0.588,1.52,18.2,0.206,0.73,0.478,0.158,0.554,0.59,93.26,0.539,1610612748
2013-14,100.2,108.9,-8.7,0.596,1.42,16.7,0.271,0.714,0.486,0.158,0.479,0.519,94.28,0.449,1610612749
2013-14,105.6,104.1,1.4,0.616,1.72,17.4,0.274,0.744,0.503,0.138,0.486,0.535,99.82,0.519,1610612750
2013-14,104.4,104.9,-0.6,0.585,1.44,16.8,0.217,0.723,0.471,0.154,0.514,0.555,93.68,0.492,1610612751
2013-14,105.4,106.5,-1,0.542,1.54,16.1,0.251,0.743,0.49,0.139,0.505,0.541,92.59,0.49,1610612752
2013-14,99.3,104.8,-5.5,0.571,1.41,16.5,0.224,0.755,0.489,0.153,0.487,0.525,95.87,0.466,1610612753
2013-14,101.5,96.7,4.8,0.56,1.33,16,0.249,0.768,0.521,0.158,0.49,0.535,94.9,0.545,1610612754
2013-14,96.8,107.5,-10.7,0.576,1.29,16,0.248,0.724,0.477,0.164,0.475,0.51,101.62,0.426,1610612755
2013-14,107.1,103.8,3.3,0.493,1.24,14.8,0.264,0.737,0.501,0.156,0.519,0.558,98.16,0.509,1610612756
2013-14,108.3,104.7,3.5,0.594,1.69,17.3,0.28,0.747,0.516,0.139,0.504,0.548,97.48,0.524,1610612757
2013-14,102.9,106.3,-3.4,0.511,1.24,14.7,0.278,0.766,0.519,0.156,0.484,0.532,96.75,0.473,1610612758
2013-14,108.2,100.1,8.1,0.621,1.75,19.1,0.227,0.764,0.506,0.148,0.537,0.571,97.07,0.555,1610612759
2013-14,108.1,101,7.1,0.562,1.43,16.7,0.265,0.756,0.522,0.156,0.52,0.566,97.91,0.543,1610612760
2013-14,105.8,102.4,3.5,0.581,1.5,16.5,0.272,0.749,0.509,0.148,0.498,0.545,94.42,0.512,1610612761
2013-14,100.6,109.1,-8.4,0.564,1.39,16.1,0.255,0.745,0.492,0.155,0.484,0.523,93.57,0.451,1610612762
2013-14,103.3,102.1,1.2,0.574,1.59,17.3,0.283,0.757,0.52,0.147,0.494,0.529,92.25,0.518,1610612763
2013-14,103.3,102.4,0.9,0.601,1.59,17.7,0.252,0.757,0.5,0.151,0.506,0.538,95.45,0.504,1610612764
2013-14,102.9,107.3,-4.4,0.539,1.44,15.6,0.314,0.734,0.514,0.148,0.482,0.514,97.39,0.464,1610612765
2013-14,101.2,101.2,0.1,0.597,1.76,17.1,0.219,0.776,0.496,0.129,0.481,0.522,94.73,0.508,1610612766
