SEASON_YEAR,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,TEAM_ID
2004-05,97.9,108.4,-10.5,0.549,1.22,15.4,0.307,0.721,0.504,0.17,0.464,0.504,93.8,0.422,1610612737
2004-05,104.8,103.3,1.5,0.594,1.4,17,0.272,0.701,0.491,0.164,0.501,0.551,95.92,0.505,1610612738
2004-05,103.2,102.5,0.7,0.619,1.62,17.4,0.325,0.715,0.515,0.149,0.47,0.518,92.62,0.51,1610612739
2004-05,95.9,105.1,-9.1,0.634,1.42,16.7,0.291,0.707,0.49,0.161,0.446,0.493,90.39,0.437,1610612740
2004-05,98.5,97.5,1,0.612,1.27,16.4,0.284,0.726,0.506,0.174,0.471,0.517,95.11,0.498,1610612741
2004-05,107.5,101,6.4,0.526,1.46,15.4,0.286,0.702,0.499,0.141,0.492,0.545,95.33,0.537,1610612742
2004-05,103.4,100.7,2.7,0.645,1.6,18.1,0.284,0.717,0.502,0.155,0.483,0.535,96.13,0.531,1610612743
2004-05,101.9,104,-2,0.598,1.63,16.7,0.278,0.697,0.478,0.14,0.475,0.512,95.85,0.473,1610612744
2004-05,103.2,98.9,4.3,0.609,1.53,17.1,0.263,0.745,0.51,0.15,0.486,0.534,91.28,0.527,1610612745
2004-05,102.2,103.4,-1.2,0.65,1.47,18,0.303,0.713,0.515,0.168,0.477,0.533,91.85,0.518,1610612746
2004-05,104.9,108,-3.1,0.578,1.42,16.1,0.295,0.711,0.504,0.152,0.485,0.535,93.65,0.468,1610612747
2004-05,108.2,99.8,8.4,0.578,1.59,17.3,0.27,0.741,0.515,0.146,0.524,0.559,93.09,0.556,1610612748
2004-05,103.4,106.7,-3.3,0.58,1.52,16.5,0.29,0.72,0.503,0.147,0.475,0.527,93.47,0.478,1610612749
2004-05,104.9,103.7,1.2,0.63,1.78,18.4,0.286,0.714,0.51,0.143,0.489,0.534,91.7,0.518,1610612750
2004-05,98.3,100.4,-2.1,0.644,1.52,17.3,0.255,0.732,0.49,0.153,0.463,0.512,91.73,0.49,1610612751
2004-05,103,106.5,-3.5,0.559,1.38,16,0.283,0.712,0.496,0.155,0.485,0.531,93.08,0.475,1610612752
2004-05,102.1,104.2,-2.1,0.522,1.2,14.9,0.299,0.713,0.509,0.165,0.478,0.529,97.42,0.489,1610612753
2004-05,102.4,101.9,0.5,0.558,1.27,15.2,0.264,0.713,0.492,0.158,0.476,0.534,89.63,0.504,1610612754
2004-05,100.8,101.5,-0.7,0.58,1.34,16,0.254,0.727,0.488,0.158,0.475,0.528,97.54,0.493,1610612755
2004-05,111.9,103.7,8.2,0.575,1.71,17.5,0.275,0.683,0.489,0.139,0.534,0.571,98.62,0.546,1610612756
2004-05,100.1,104.5,-4.4,0.595,1.32,16.7,0.296,0.677,0.494,0.172,0.484,0.524,92.6,0.475,1610612757
2004-05,107.5,105,2.5,0.626,1.87,18.3,0.288,0.69,0.489,0.136,0.496,0.541,95.72,0.522,1610612758
2004-05,104.9,95.8,9.1,0.606,1.57,17.2,0.291,0.736,0.513,0.15,0.492,0.534,91.42,0.565,1610612759
2004-05,108.1,106.1,2,0.516,1.34,14.8,0.324,0.713,0.519,0.148,0.495,0.546,90.99,0.504,1610612760
2004-05,104.5,105.9,-1.3,0.566,1.54,16.2,0.237,0.711,0.47,0.139,0.492,0.539,94.97,0.479,1610612761
2004-05,101.1,107,-5.9,0.646,1.41,17.5,0.319,0.723,0.516,0.171,0.469,0.522,91.01,0.475,1610612762
2004-05,102.5,99.9,2.7,0.612,1.43,17,0.271,0.699,0.486,0.16,0.489,0.535,91.08,0.515,1610612763
2004-05,104,104.2,-0.2,0.527,1.33,14.7,0.311,0.7,0.499,0.148,0.474,0.523,96.18,0.485,1610612764
2004-05,102.8,97.9,4.8,0.627,1.58,17.4,0.312,0.73,0.523,0.152,0.472,0.519,89.83,0.542,1610612765
2004-05,98,104.7,-6.8,0.606,1.51,16.7,0.295,0.709,0.491,0.151,0.455,0.497,95,0.46,1610612766
