SEASON_YEAR,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,TEAM_ID
2011-12,102.4,98.6,3.8,0.61,1.61,17.7,0.239,0.744,0.493,0.148,0.5,0.535,92.51,0.526,1610612737
2011-12,98.9,95.5,3.4,0.665,1.59,19,0.197,0.724,0.473,0.16,0.496,0.535,92.65,0.535,1610612738
2011-12,98.1,106,-7.9,0.579,1.29,15.6,0.289,0.722,0.497,0.162,0.463,0.505,93.96,0.439,1610612739
2011-12,98.3,102.3,-4,0.595,1.34,16.9,0.275,0.731,0.507,0.17,0.476,0.517,90.67,0.482,1610612740
2011-12,104.5,95.3,9.3,0.619,1.65,17.9,0.326,0.743,0.539,0.152,0.49,0.523,91.79,0.561,1610612741
2011-12,101,99.7,1.3,0.575,1.49,16.6,0.234,0.748,0.493,0.148,0.489,0.527,93.64,0.51,1610612742
2011-12,106.5,103.4,3.1,0.615,1.56,18,0.277,0.743,0.517,0.157,0.516,0.556,96.65,0.527,1610612743
2011-12,103.1,106,-3,0.591,1.61,17.6,0.229,0.691,0.461,0.146,0.505,0.539,94.71,0.472,1610612744
2011-12,102.7,102.1,0.6,0.564,1.47,16.6,0.275,0.734,0.502,0.152,0.492,0.529,94.32,0.497,1610612745
2011-12,105.2,102.9,2.2,0.568,1.58,16.7,0.295,0.732,0.511,0.144,0.502,0.533,91.79,0.517,1610612746
2011-12,103.3,101.7,1.7,0.611,1.49,17.5,0.291,0.748,0.53,0.16,0.491,0.534,92.93,0.524,1610612747
2011-12,104.3,97.1,7.2,0.538,1.31,16,0.266,0.739,0.511,0.161,0.505,0.549,93.66,0.553,1610612748
2011-12,102.4,102.4,0,0.62,1.67,17.7,0.277,0.709,0.487,0.146,0.481,0.521,96.42,0.503,1610612749
2011-12,101.5,103.6,-2.2,0.548,1.29,15.3,0.275,0.73,0.502,0.157,0.477,0.524,95.96,0.483,1610612750
2011-12,99.7,106.9,-7.2,0.58,1.32,15.9,0.278,0.707,0.486,0.161,0.473,0.516,92.71,0.448,1610612751
2011-12,101.4,98.4,3,0.562,1.26,15.7,0.266,0.737,0.499,0.166,0.492,0.533,95.7,0.52,1610612752
2011-12,102.4,101.7,0.7,0.581,1.34,16.2,0.265,0.755,0.507,0.162,0.506,0.533,91.15,0.493,1610612753
2011-12,103.5,100.4,3.1,0.522,1.33,14.8,0.292,0.723,0.509,0.148,0.474,0.526,93.35,0.521,1610612754
2011-12,101.7,96.6,5.1,0.588,1.97,17.6,0.244,0.752,0.497,0.121,0.48,0.511,91.88,0.532,1610612755
2011-12,103.5,103.8,-0.2,0.596,1.6,17.5,0.258,0.717,0.49,0.148,0.499,0.536,95.02,0.502,1610612756
2011-12,102.8,103.7,-0.9,0.562,1.44,16.2,0.263,0.728,0.49,0.15,0.488,0.531,93.73,0.494,1610612757
2011-12,101,106.8,-5.8,0.51,1.34,14.8,0.291,0.705,0.488,0.147,0.472,0.51,97.34,0.451,1610612758
2011-12,108.5,100.6,7.9,0.585,1.71,17.9,0.251,0.76,0.511,0.142,0.528,0.562,95.09,0.546,1610612759
2011-12,107.1,100,7.2,0.497,1.13,14.7,0.278,0.721,0.514,0.17,0.516,0.567,95.68,0.542,1610612760
2011-12,98.5,101.5,-3,0.609,1.38,16.9,0.259,0.754,0.509,0.165,0.475,0.518,91.63,0.478,1610612761
2011-12,103.7,103.6,0.2,0.57,1.54,16.7,0.302,0.738,0.518,0.148,0.481,0.525,93.91,0.509,1610612762
2011-12,101,98.9,2.1,0.532,1.35,15.5,0.298,0.727,0.508,0.154,0.473,0.515,93.43,0.514,1610612763
2011-12,97.8,103.8,-6,0.523,1.25,15.1,0.273,0.709,0.489,0.16,0.472,0.508,95.11,0.46,1610612764
2011-12,97.8,104,-6.2,0.538,1.19,15.1,0.281,0.728,0.497,0.168,0.468,0.51,91.73,0.448,1610612765
2011-12,92.3,107.8,-15.5,0.605,1.39,16.1,0.236,0.709,0.464,0.154,0.439,0.483,93.59,0.411,1610612766
