SEASON_YEAR,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,TEAM_ID
2003-04,98.2,103.1,-4.9,0.583,1.22,15.9,0.286,0.705,0.498,0.174,0.465,0.514,93.49,0.466,1610612737
2003-04,99.9,100.2,-0.3,0.592,1.26,16.3,0.252,0.695,0.478,0.17,0.486,0.532,95.79,0.49,1610612738
2003-04,98.4,101.3,-2.9,0.619,1.49,16.9,0.311,0.73,0.52,0.157,0.451,0.498,93.55,0.491,1610612739
2003-04,99.1,99.5,-0.3,0.619,1.4,16.5,0.306,0.713,0.504,0.162,0.46,0.505,91.83,0.491,1610612740
2003-04,93.9,100.5,-6.6,0.641,1.36,16.8,0.281,0.714,0.491,0.169,0.446,0.486,94.82,0.446,1610612741
2003-04,109.6,104.3,5.2,0.591,1.96,17.8,0.314,0.716,0.51,0.127,0.495,0.536,95.68,0.526,1610612742
2003-04,100.8,99.9,0.9,0.599,1.4,16.6,0.305,0.693,0.496,0.162,0.467,0.517,96.1,0.505,1610612743
2003-04,100.5,101.2,-0.7,0.585,1.39,16.3,0.284,0.721,0.502,0.159,0.475,0.517,92.06,0.491,1610612744
2003-04,98.1,96.4,1.8,0.577,1.15,15.9,0.265,0.745,0.517,0.183,0.484,0.528,90.28,0.513,1610612745
2003-04,99.8,105.9,-6.1,0.587,1.23,15.6,0.328,0.7,0.513,0.173,0.453,0.512,93.8,0.464,1610612746
2003-04,102.7,98.7,4,0.643,1.72,18.1,0.281,0.733,0.504,0.144,0.481,0.522,94.76,0.538,1610612747
2003-04,99.3,98.9,0.4,0.573,1.38,15.7,0.274,0.734,0.502,0.152,0.463,0.51,90.51,0.496,1610612748
2003-04,103.5,102.6,0.9,0.63,1.69,17.7,0.276,0.718,0.497,0.143,0.477,0.528,94.12,0.51,1610612749
2003-04,103.3,96.6,6.7,0.623,1.81,18.4,0.267,0.725,0.509,0.139,0.486,0.528,91.53,0.554,1610612750
2003-04,98.2,95.2,3,0.714,1.66,19.3,0.259,0.739,0.499,0.16,0.471,0.515,91.9,0.533,1610612751
2003-04,99.1,100.3,-1.2,0.588,1.31,16.5,0.28,0.728,0.507,0.169,0.474,0.518,92.08,0.488,1610612752
2003-04,99.3,107.5,-8.3,0.545,1.41,15.3,0.281,0.687,0.479,0.145,0.461,0.504,93.65,0.434,1610612753
2003-04,100.9,94.8,6.1,0.644,1.5,17.5,0.285,0.739,0.509,0.159,0.471,0.52,89.86,0.539,1610612754
2003-04,96.1,99.1,-3,0.611,1.25,16.3,0.282,0.707,0.497,0.174,0.456,0.505,90.66,0.484,1610612755
2003-04,98.8,102.2,-3.4,0.536,1.27,15.4,0.266,0.699,0.481,0.16,0.475,0.515,95.33,0.466,1610612756
2003-04,100.5,102.2,-1.6,0.61,1.46,17.3,0.312,0.7,0.508,0.164,0.478,0.515,88.79,0.488,1610612757
2003-04,107.3,102.2,5.1,0.694,1.89,19.7,0.26,0.698,0.484,0.145,0.507,0.554,95.29,0.544,1610612758
2003-04,99.8,91.6,8.2,0.59,1.39,16.4,0.295,0.746,0.523,0.16,0.473,0.511,91.51,0.566,1610612759
2003-04,104,104.7,-0.6,0.606,1.5,17.2,0.272,0.685,0.48,0.155,0.501,0.54,92.78,0.491,1610612760
2003-04,94.6,97.6,-3,0.593,1.35,16,0.238,0.701,0.468,0.157,0.454,0.495,89.14,0.476,1610612761
2003-04,98.3,100.4,-2.1,0.621,1.22,16.4,0.341,0.724,0.529,0.184,0.456,0.509,89.44,0.493,1610612762
2003-04,101.9,99.2,2.7,0.646,1.56,17.8,0.295,0.684,0.487,0.158,0.479,0.522,93.99,0.522,1610612763
2003-04,95.9,101.9,-6.1,0.557,1.07,14.6,0.307,0.695,0.496,0.183,0.454,0.5,94.96,0.441,1610612764
2003-04,99.1,92.5,6.6,0.62,1.37,16.7,0.301,0.718,0.513,0.166,0.461,0.511,90.53,0.558,1610612765
