SEASON_YEAR,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,TEAM_ID
2009-10,108.9,104,4.9,0.562,1.83,17.2,0.282,0.727,0.502,0.128,0.506,0.545,92.5,0.523,1610612737
2009-10,105.4,101.1,4.3,0.635,1.58,18.6,0.228,0.738,0.491,0.158,0.522,0.564,93.84,0.54,1610612738
2009-10,108.8,101.5,7.3,0.592,1.61,17.8,0.251,0.772,0.524,0.148,0.532,0.57,93.54,0.552,1610612739
2009-10,105.1,107.3,-2.3,0.575,1.66,17.4,0.248,0.738,0.489,0.141,0.506,0.543,94.83,0.484,1610612740
2009-10,100.8,102.6,-1.8,0.553,1.45,16.1,0.266,0.748,0.51,0.148,0.477,0.52,95.54,0.5,1610612741
2009-10,107.1,103.2,4,0.611,1.81,18.2,0.243,0.737,0.493,0.136,0.506,0.552,94.76,0.534,1610612742
2009-10,108.7,104.7,4,0.55,1.51,16.2,0.261,0.724,0.495,0.141,0.509,0.561,97.34,0.524,1610612743
2009-10,105.4,109.4,-3.9,0.552,1.53,16.6,0.209,0.685,0.444,0.142,0.514,0.557,102.72,0.47,1610612744
2009-10,104.5,105.5,-1,0.579,1.51,16.6,0.269,0.738,0.495,0.148,0.494,0.537,96.55,0.489,1610612745
2009-10,100.9,107.1,-6.3,0.603,1.41,17.2,0.271,0.74,0.504,0.165,0.491,0.529,94.96,0.465,1610612746
2009-10,105.9,101.1,4.9,0.55,1.58,16.4,0.276,0.744,0.512,0.139,0.496,0.538,95.24,0.529,1610612747
2009-10,104.5,100.9,3.6,0.519,1.43,15.5,0.261,0.749,0.507,0.143,0.496,0.537,91.92,0.522,1610612748
2009-10,102,100.9,1,0.57,1.6,16.5,0.262,0.764,0.501,0.138,0.482,0.518,94.01,0.495,1610612749
2009-10,98.9,109.3,-10.4,0.524,1.22,15.2,0.267,0.736,0.497,0.164,0.478,0.518,98.46,0.432,1610612750
2009-10,98.1,108,-10,0.547,1.3,15.2,0.251,0.718,0.474,0.153,0.458,0.509,93.62,0.429,1610612751
2009-10,105.2,109.1,-4,0.567,1.54,16.8,0.235,0.721,0.474,0.144,0.509,0.547,96.1,0.474,1610612752
2009-10,109.5,100.2,9.3,0.537,1.4,16,0.246,0.774,0.519,0.15,0.536,0.573,94.22,0.551,1610612753
2009-10,101.3,104.2,-2.9,0.573,1.4,16.2,0.216,0.73,0.471,0.151,0.491,0.536,99.41,0.476,1610612754
2009-10,103.4,107.6,-4.2,0.558,1.45,16.5,0.276,0.732,0.5,0.154,0.496,0.534,93.91,0.478,1610612755
2009-10,112.7,106.9,5.8,0.573,1.58,17.6,0.276,0.708,0.504,0.151,0.546,0.585,97.91,0.536,1610612756
2009-10,108,104,4.1,0.563,1.65,16.7,0.282,0.748,0.513,0.136,0.499,0.547,90.2,0.525,1610612757
2009-10,102.4,107.2,-4.8,0.534,1.37,15.7,0.278,0.735,0.503,0.153,0.491,0.528,96.55,0.467,1610612758
2009-10,107.2,102,5.2,0.581,1.64,17.5,0.268,0.763,0.52,0.144,0.515,0.552,94.02,0.532,1610612759
2009-10,105.8,101.6,4.1,0.535,1.34,15.7,0.286,0.736,0.517,0.156,0.494,0.547,95.58,0.532,1610612760
2009-10,108.6,110.2,-1.6,0.564,1.64,17.2,0.247,0.729,0.495,0.14,0.521,0.564,95.44,0.489,1610612761
2009-10,107.8,102.9,4.8,0.678,1.76,19.9,0.268,0.756,0.519,0.157,0.524,0.565,96.03,0.55,1610612762
2009-10,104.8,107.6,-2.9,0.479,1.24,14.5,0.313,0.733,0.523,0.156,0.494,0.536,96.14,0.486,1610612763
2009-10,101.4,106.7,-5.4,0.518,1.28,15.1,0.276,0.724,0.497,0.157,0.481,0.524,94.1,0.462,1610612764
2009-10,102.4,108.9,-6.5,0.541,1.45,15.6,0.303,0.734,0.505,0.146,0.474,0.515,90.97,0.448,1610612765
2009-10,101.5,100.2,1.3,0.58,1.29,16.2,0.265,0.742,0.507,0.168,0.49,0.538,92.8,0.518,1610612766
