SEASON_YEAR,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,TEAM_ID
1997-98,105.1,100.8,4.3,0.543,1.29,15.5,0.339,0.691,0.521,0.162,0.481,0.533,90.49,0.532,1610612737
1997-98,99.1,102.6,-3.5,0.603,1.37,16.6,0.328,0.668,0.484,0.168,0.464,0.504,96.11,0.457,1610612738
1997-98,99.3,96,3.3,0.672,1.33,18.1,0.3,0.711,0.508,0.186,0.478,0.529,92.61,0.528,1610612739
1997-98,104.1,96.7,7.3,0.637,1.66,18,0.357,0.706,0.531,0.155,0.473,0.516,91.96,0.56,1610612741
1997-98,97.4,104.4,-7,0.533,1.3,15,0.276,0.651,0.46,0.154,0.458,0.498,92.47,0.446,1610612742
1997-98,95.7,109.1,-13.4,0.578,1.18,15.1,0.302,0.663,0.478,0.172,0.44,0.496,92.49,0.407,1610612743
1997-98,92.7,102.8,-10.1,0.6,1.25,15.8,0.337,0.686,0.506,0.175,0.427,0.468,94.24,0.423,1610612744
1997-98,104.4,105.6,-1.2,0.611,1.39,17.1,0.298,0.693,0.498,0.167,0.496,0.544,93.65,0.49,1610612745
1997-98,99.9,108.3,-8.4,0.523,1.16,14.7,0.296,0.661,0.477,0.168,0.477,0.518,95.2,0.437,1610612746
1997-98,109.2,100.7,8.5,0.639,1.6,18.3,0.316,0.688,0.506,0.159,0.519,0.559,96.11,0.558,1610612747
1997-98,104.6,98.7,5.9,0.617,1.43,17.2,0.315,0.696,0.512,0.165,0.494,0.538,90.62,0.535,1610612748
1997-98,100.6,102.4,-1.8,0.565,1.19,15.9,0.314,0.691,0.501,0.18,0.475,0.527,92.84,0.483,1610612749
1997-98,104.8,103.6,1.2,0.655,1.82,18.7,0.306,0.685,0.498,0.144,0.483,0.529,95.4,0.515,1610612750
1997-98,104.8,103.3,1.4,0.552,1.43,15.6,0.367,0.664,0.506,0.151,0.463,0.513,94.05,0.497,1610612751
1997-98,100.4,97.1,3.3,0.624,1.43,17.4,0.295,0.74,0.516,0.167,0.476,0.521,90.79,0.517,1610612752
1997-98,98.8,100.9,-2.1,0.611,1.35,16.4,0.342,0.669,0.502,0.168,0.452,0.499,89.99,0.489,1610612753
1997-98,105.6,98.4,7.2,0.647,1.62,18.5,0.279,0.678,0.489,0.157,0.502,0.55,90.5,0.553,1610612754
1997-98,99.7,102.7,-3,0.609,1.28,16.4,0.325,0.673,0.497,0.177,0.462,0.514,93.02,0.478,1610612755
1997-98,104.5,98.8,5.7,0.677,1.72,19.4,0.297,0.7,0.504,0.158,0.5,0.54,93.95,0.547,1610612756
1997-98,100.8,99.5,1.3,0.612,1.28,16.8,0.33,0.714,0.529,0.18,0.476,0.524,92.79,0.512,1610612757
1997-98,98.1,103.8,-5.7,0.621,1.44,17.1,0.302,0.666,0.479,0.163,0.464,0.502,94.77,0.458,1610612758
1997-98,101.5,96.2,5.3,0.635,1.4,17.9,0.306,0.722,0.527,0.176,0.493,0.531,90.88,0.551,1610612759
1997-98,108.5,100.4,8.1,0.651,1.73,18.9,0.287,0.661,0.477,0.151,0.521,0.558,92.45,0.544,1610612760
1997-98,98.5,107.7,-9.2,0.589,1.27,16.1,0.321,0.629,0.469,0.173,0.462,0.504,95.35,0.431,1610612761
1997-98,109.3,102.3,7,0.692,1.64,19.5,0.323,0.71,0.529,0.166,0.51,0.569,91.86,0.571,1610612762
1997-98,101.1,109.3,-8.2,0.652,1.4,18,0.314,0.669,0.492,0.179,0.482,0.527,94.6,0.452,1610612763
1997-98,102.2,101.6,0.6,0.617,1.64,17.6,0.312,0.695,0.497,0.148,0.476,0.513,94.46,0.507,1610612764
1997-98,102.5,100.4,2.1,0.558,1.33,15.7,0.309,0.702,0.504,0.159,0.472,0.523,90.7,0.505,1610612765
1997-98,104.7,102.7,2,0.654,1.56,18.5,0.304,0.708,0.508,0.165,0.495,0.542,91.75,0.526,1610612766
