SEASON_YEAR,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,TEAM_ID
2005-06,103.8,108.3,-4.5,0.552,1.27,15.7,0.314,0.695,0.499,0.167,0.486,0.534,92.99,0.462,1610612737
2005-06,102.5,104,-1.5,0.581,1.26,16.6,0.255,0.728,0.497,0.173,0.504,0.551,94.66,0.485,1610612738
2005-06,105.2,102.6,2.5,0.536,1.37,15.4,0.284,0.757,0.518,0.149,0.492,0.538,92.16,0.51,1610612739
2005-06,100.6,104.4,-3.8,0.537,1.39,15.2,0.269,0.734,0.495,0.145,0.464,0.515,91.32,0.484,1610612740
2005-06,101.3,100.2,1,0.601,1.47,17,0.263,0.747,0.506,0.155,0.487,0.527,95.68,0.501,1610612741
2005-06,108.7,101.9,6.8,0.5,1.32,14.8,0.318,0.722,0.524,0.149,0.495,0.55,90.33,0.551,1610612742
2005-06,102.8,102.1,0.7,0.624,1.58,17.7,0.268,0.72,0.497,0.152,0.488,0.535,96.6,0.512,1610612743
2005-06,101.9,103.5,-1.6,0.576,1.47,16,0.269,0.716,0.487,0.146,0.479,0.521,95.82,0.475,1610612744
2005-06,98.9,100.6,-1.7,0.583,1.32,16,0.255,0.746,0.505,0.16,0.471,0.519,90.39,0.49,1610612745
2005-06,102.9,100.7,2.3,0.571,1.44,16.6,0.254,0.759,0.518,0.153,0.487,0.54,94.11,0.523,1610612746
2005-06,105.4,102.6,2.8,0.58,1.52,16.6,0.288,0.736,0.512,0.148,0.495,0.539,93.57,0.518,1610612747
2005-06,106.4,101.7,4.7,0.557,1.43,16.5,0.267,0.764,0.526,0.154,0.517,0.556,93.81,0.538,1610612748
2005-06,103.3,105,-1.7,0.594,1.48,16.9,0.273,0.746,0.505,0.154,0.492,0.535,93.57,0.486,1610612749
2005-06,99.6,101.7,-2.1,0.594,1.44,17,0.252,0.713,0.489,0.157,0.48,0.524,91.28,0.503,1610612750
2005-06,101.5,99.8,1.7,0.678,1.68,18.3,0.24,0.763,0.498,0.148,0.478,0.528,92.03,0.513,1610612751
2005-06,101.1,108.4,-7.3,0.52,1.01,14.3,0.312,0.728,0.518,0.187,0.481,0.534,93.22,0.444,1610612752
2005-06,103.6,104.7,-1.1,0.514,1.21,15.1,0.285,0.725,0.511,0.165,0.496,0.543,90.65,0.495,1610612753
2005-06,101.6,99.9,1.7,0.585,1.3,16.1,0.271,0.726,0.505,0.165,0.487,0.533,92.05,0.514,1610612754
2005-06,103.7,104.8,-1.2,0.551,1.43,15.9,0.256,0.713,0.485,0.148,0.487,0.538,95.13,0.492,1610612755
2005-06,109.4,102.9,6.4,0.635,2,19.7,0.221,0.721,0.477,0.134,0.537,0.568,98.13,0.547,1610612756
2005-06,97.9,109.4,-11.5,0.534,1.24,15.2,0.266,0.682,0.471,0.162,0.474,0.511,90.09,0.424,1610612757
2005-06,103.9,102.3,1.6,0.618,1.52,17.4,0.254,0.722,0.49,0.154,0.492,0.544,94.45,0.515,1610612758
2005-06,105.2,96.9,8.3,0.574,1.52,17.1,0.26,0.742,0.507,0.151,0.513,0.546,90.65,0.554,1610612759
2005-06,107.4,111.3,-3.9,0.551,1.4,16.1,0.304,0.69,0.494,0.154,0.504,0.551,94.47,0.467,1610612760
2005-06,106.7,109.7,-3,0.529,1.49,15.6,0.254,0.733,0.483,0.138,0.5,0.548,93.45,0.459,1610612761
2005-06,100.8,104.5,-3.6,0.646,1.37,17.1,0.324,0.732,0.526,0.172,0.467,0.519,90.35,0.497,1610612762
2005-06,103,99.2,3.8,0.578,1.4,16.3,0.258,0.72,0.491,0.155,0.496,0.537,88.55,0.516,1610612763
2005-06,106,104.7,1.3,0.512,1.33,14.6,0.295,0.709,0.495,0.145,0.484,0.538,94.88,0.503,1610612764
2005-06,107.7,100.2,7.6,0.661,2.12,19.1,0.289,0.712,0.498,0.126,0.497,0.535,89.28,0.557,1610612765
2005-06,99.5,104.2,-4.7,0.58,1.47,16.1,0.271,0.707,0.475,0.146,0.464,0.509,95.98,0.463,1610612766
