SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID
2009-10,A.J. Price,IND,56,865.3116666666666,145,354,0.41,60,174,0.345,60,75,0.8,12,76,88,106,35,3,59,53,410,201985
2009-10,Aaron Brooks,HOU,82,2919.786666666667,575,1331,0.432,209,525,0.398,245,298,0.822,54,161,215,434,69,14,232,199,1604,201166
2009-10,Aaron Gray,NOH,32,310.92833333333334,42,82,0.512,0,0,0.0,20,28,0.714,45,61,106,22,9,11,18,54,104,201189
2009-10,Acie Law,CHI,26,233.70666666666668,35,75,0.467,5,16,0.313,38,49,0.776,3,14,17,26,11,1,17,16,113,201151
2009-10,Adam Morrison,LAL,31,240.92333333333335,32,85,0.376,5,21,0.238,5,8,0.625,10,22,32,18,3,2,10,17,74,200747
2009-10,Al Harrington,NYK,72,2195.2316666666666,448,1030,0.435,140,409,0.342,240,317,0.757,88,317,405,110,62,26,132,209,1276,1733
2009-10,Al Horford,ATL,81,2844.9566666666665,467,847,0.551,1,1,1.0,213,270,0.789,236,563,799,189,59,91,122,225,1148,201143
2009-10,Al Jefferson,MIN,76,2463.16,560,1125,0.498,0,4,0.0,181,266,0.68,180,523,703,137,63,98,136,205,1301,2744
2009-10,Al Thornton,WAS,75,2079.3166666666666,320,676,0.473,11,31,0.355,153,211,0.725,116,178,294,90,45,35,102,206,804,201154
2009-10,Alando Tucker,MIN,15,95.48333333333333,17,39,0.436,1,7,0.143,16,21,0.762,6,4,10,4,0,0,5,6,51,201169
2009-10,Alexis Ajinca,CHA,6,29.516666666666666,5,10,0.5,0,0,0.0,0,1,0.0,1,3,4,0,1,1,2,5,10,201582
2009-10,Allen Iverson,PHI,28,864.5233333333333,136,316,0.43,9,25,0.36,104,131,0.794,16,63,79,113,19,2,64,48,385,947
2009-10,Alonzo Gee,WAS,11,181.68333333333334,28,59,0.475,7,9,0.778,18,29,0.621,15,18,33,7,7,1,10,13,81,202087
2009-10,Amar'e Stoudemire,PHX,82,2837.798333333333,704,1264,0.557,1,6,0.167,487,632,0.771,230,502,732,82,52,83,213,281,1896,2405
2009-10,Amir Johnson,TOR,82,1452.3683333333333,208,334,0.623,0,4,0.0,95,149,0.638,154,241,395,48,44,66,63,255,511,101161
2009-10,Anderson Varejao,CLE,76,2165.971666666667,267,467,0.572,1,5,0.2,116,175,0.663,189,389,578,87,71,67,67,223,651,2760
2009-10,Andray Blatche,WAS,81,2255.9683333333332,478,999,0.478,13,44,0.295,174,234,0.744,158,351,509,170,85,71,182,218,1143,101154
2009-10,Andre Iguodala,PHI,82,3192.6266666666666,496,1120,0.443,94,303,0.31,315,430,0.733,82,447,529,472,141,55,218,145,1401,2738
