SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID
1998-99,A.C. Green,DAL,50,923.3383333333334,108,256,0.422,0,8,0.0,30,52,0.577,82,146,228,25,28,8,19,69,246,920
1998-99,Aaron McKie,PHI,50,958.865,95,237,0.401,6,31,0.194,44,62,0.71,27,113,140,100,63,3,57,90,240,243
1998-99,Aaron Williams,SEA,40,458.9716666666667,52,123,0.423,0,1,0.0,54,74,0.73,54,74,128,22,14,24,30,75,158,1425
1998-99,Adam Keefe,UTA,44,642.5083333333333,56,124,0.452,0,4,0.0,62,89,0.697,51,91,142,28,16,12,33,63,174,228
1998-99,Adonal Foyle,GSW,44,611.5233333333333,52,121,0.43,0,0,0.0,25,51,0.49,79,115,194,18,15,43,31,90,129,1502
1998-99,Adonis Jordan,MIL,4,18.583333333333332,2,4,0.5,0,2,0.0,2,4,0.5,0,0,0,3,3,0,2,0,6,1817
1998-99,Al Harrington,IND,21,159.01833333333335,18,56,0.321,0,5,0.0,9,15,0.6,20,19,39,5,4,2,11,26,45,1733
1998-99,Alan Henderson,ATL,38,1141.6483333333333,187,423,0.442,0,1,0.0,100,149,0.671,100,150,250,27,33,19,58,96,474,673
1998-99,Allan Houston,NYK,50,1814.39,294,703,0.418,57,140,0.407,168,195,0.862,20,132,152,137,35,9,130,115,813,275
1998-99,Allen Iverson,PHI,48,1991.19,435,1056,0.412,58,199,0.291,356,474,0.751,66,170,236,223,110,7,167,98,1284,947
1998-99,Alonzo Mourning,MIA,46,1755.415,324,633,0.512,0,2,0.0,276,423,0.652,166,341,507,74,34,180,139,161,924,297
1998-99,Alvin Sims,PHX,4,25.226666666666667,4,10,0.4,1,1,1.0,2,5,0.4,3,1,4,5,2,0,6,2,11,1591
1998-99,Alvin Williams,TOR,50,1051.24,95,237,0.401,14,42,0.333,44,52,0.846,19,63,82,130,51,12,56,94,248,1541
1998-99,Andrae Patterson,MIN,35,283.7733333333333,43,97,0.443,0,5,0.0,28,36,0.778,30,35,65,15,19,7,22,62,114,1754
1998-99,Andrew DeClercq,CLE,47,1101.7833333333333,138,276,0.5,0,0,0.0,95,141,0.674,104,151,255,31,50,29,54,161,371,692
1998-99,Andrew Gaze,SAS,19,56.22666666666667,8,25,0.32,5,16,0.313,0,0,0.0,2,3,5,6,2,1,4,7,21,1845
1998-99,Andrew Lang,CHI,21,385.9583333333333,32,99,0.323,0,0,0.0,16,23,0.696,33,60,93,13,5,12,17,43,80,457
1998-99,Anfernee Hardaway,ORL,50,1946.3883333333333,301,717,0.42,40,140,0.286,149,211,0.706,74,210,284,266,111,23,150,111,791,358
1998-99,Antawn Jamison,GSW,47,1058.385,178,394,0.452,3,10,0.3,90,153,0.588,131,170,301,34,38,16,68,102,449,1712
1998-99,Anthony Avent,UTA,5,44.708333333333336,4,13,0.308,0,0,0.0,1,2,0.5,8,4,12,1,2,0,7,6,9,138
1998-99,Anthony Johnson,ATL,49,886.0816666666667,91,225,0.404,5,19,0.263,57,82,0.695,16,59,75,107,35,7,65,67,244,1533
1998-99,Anthony Miller,HOU,29,247.53,28,60,0.467,0,1,0.0,14,22,0.636,26,41,67,7,7,5,9,34,70,292
1998-99,Anthony Parker,PHI,2,2.868333333333333,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1515
1998-99,Anthony Peeler,MIN,28,808.5833333333334,103,272,0.379,34,114,0.298,30,41,0.732,30,54,84,78,35,6,38,60,270,324
1998-99,Antoine Carr,HOU,18,152.00333333333333,21,52,0.404,0,1,0.0,5,7,0.714,9,22,31,9,1,10,9,31,47,156
1998-99,Antoine Walker,BOS,42,1550.375,303,735,0.412,65,176,0.369,113,202,0.559,106,253,359,130,63,28,119,142,784,952
1998-99,Antonio Daniels,SAS,47,613.6816666666666,83,183,0.454,5,17,0.294,49,65,0.754,13,41,54,106,30,6,44,39,220,1498
1998-99,Antonio Davis,IND,49,1270.505,164,348,0.471,0,0,0.0,135,192,0.703,116,228,344,33,22,42,50,136,463,213
1998-99,Antonio Lang,CLE,10,65.14333333333333,4,6,0.667,0,0,0.0,5,9,0.556,6,10,16,1,2,1,4,13,13,226
1998-99,Antonio McDyess,DEN,50,1937.425,415,882,0.471,1,9,0.111,230,338,0.68,168,369,537,82,73,115,138,175,1061,686
1998-99,Armen Gilliam,MIL,34,669.16,101,223,0.453,0,1,0.0,79,101,0.782,33,93,126,19,22,12,36,48,281,288
1998-99,Arvydas Sabonis,POR,50,1348.9316666666666,232,478,0.485,7,24,0.292,135,175,0.771,88,305,393,119,34,63,85,147,606,717
1998-99,Austin Croshere,IND,27,249.77166666666668,32,75,0.427,8,29,0.276,20,23,0.87,16,29,45,10,7,8,23,32,92,1506
1998-99,Avery Johnson,SAS,50,1673.37,218,461,0.473,1,12,0.083,50,88,0.568,22,96,118,369,51,11,112,101,487,422
1998-99,B.J. Armstrong,ORL,32,356.09,40,88,0.455,7,15,0.467,18,21,0.857,2,37,39,61,12,0,25,31,105,769
1998-99,Ben Davis,NYK,8,20.278333333333332,7,17,0.412,0,0,0.0,3,6,0.5,9,2,11,3,0,0,1,4,17,989
1998-99,Ben Wallace,WAS,46,1230.225,114,198,0.576,0,0,0.0,47,132,0.356,136,247,383,18,50,90,36,111,275,1112
1998-99,Benoit Benjamin,PHI,6,34.015,2,7,0.286,0,0,0.0,0,0,0.0,3,5,8,1,0,0,3,6,4,104
1998-99,Bill Curley,MIN,35,373.0516666666667,29,72,0.403,1,5,0.2,19,22,0.864,20,31,51,14,17,9,10,83,78,223
1998-99,Bill Wennington,CHI,38,449.6116666666667,62,178,0.348,1,1,1.0,18,22,0.818,20,59,79,18,13,12,17,79,143,82
1998-99,Billy Owens,SEA,21,450.7366666666667,65,165,0.394,5,11,0.455,28,35,0.8,35,45,80,38,12,4,33,37,163,182
1998-99,Bimbo Coles,GSW,48,1273.9933333333333,183,414,0.442,6,25,0.24,83,101,0.822,21,96,117,222,45,11,82,113,455,902
1998-99,Bison Dele,DET,49,1178.415,216,431,0.501,0,1,0.0,81,118,0.686,92,180,272,71,38,40,111,181,513,183
1998-99,Blue Edwards,MIA,24,285.345,32,72,0.444,4,10,0.4,9,13,0.692,7,26,33,30,17,5,21,23,77,898
1998-99,Bo Outlaw,ORL,31,850.0933333333334,84,154,0.545,0,3,0.0,35,81,0.432,54,113,167,56,40,43,58,79,203,448
1998-99,Bob Sura,CLE,50,840.69,70,210,0.333,9,45,0.2,65,103,0.631,21,81,102,152,46,14,67,98,214,682
1998-99,Bobby Jackson,MIN,50,938.6383333333333,141,348,0.405,10,27,0.37,61,79,0.772,43,92,135,167,39,3,75,75,353,1517
1998-99,Bobby Phills,CHH,43,1575.675,215,497,0.433,68,172,0.395,115,168,0.685,39,135,174,149,60,25,92,124,613,184
1998-99,Bonzi Wells,POR,7,35.766666666666666,11,20,0.55,1,3,0.333,8,18,0.444,4,5,9,3,1,1,6,5,31,1719
1998-99,Brad Miller,CHH,38,466.57166666666666,78,138,0.565,1,2,0.5,81,102,0.794,35,82,117,22,9,18,32,65,238,1802
1998-99,Brandon Williams,SAS,3,3.6416666666666666,0,0,0.0,0,0,0.0,2,4,0.5,1,0,1,0,0,0,0,0,2,1585
1998-99,Brent Barry,CHI,37,1181.0866666666666,141,356,0.396,52,172,0.302,78,101,0.772,39,105,144,116,42,11,72,98,412,699
1998-99,Brent Price,HOU,40,812.7483333333333,100,207,0.483,46,112,0.411,46,61,0.754,18,60,78,113,33,1,65,90,292,85
