SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID
2000-01,A.C. Green,MIA,82,1411.8183333333334,144,324,0.444,0,6,0.0,79,111,0.712,107,206,313,39,30,8,45,119,367,920
2000-01,A.J. Guyton,CHI,33,628.5383333333333,78,192,0.406,27,69,0.391,15,18,0.833,10,26,36,64,9,5,24,35,198,2062
2000-01,Aaron McKie,PHI,76,2391.28,338,714,0.473,53,170,0.312,149,194,0.768,33,278,311,377,106,8,203,178,878,243
2000-01,Aaron Williams,NJN,82,2333.7466666666664,297,650,0.457,0,2,0.0,244,310,0.787,211,379,590,88,59,113,132,319,838,1425
2000-01,Adam Keefe,GSW,67,841.8583333333333,64,159,0.403,1,3,0.333,39,63,0.619,90,119,209,36,28,20,40,102,168,228
2000-01,Adonal Foyle,GSW,58,1460.31,156,375,0.416,0,0,0.0,30,68,0.441,156,249,405,48,31,156,79,136,342,1502
2000-01,Adrian Griffin,BOS,44,375.875,33,97,0.34,9,26,0.346,18,24,0.75,27,60,87,27,18,5,18,45,93,1559
2000-01,Al Harrington,IND,78,1892.62,241,543,0.444,1,7,0.143,103,157,0.656,119,262,381,130,63,18,148,223,586,1733
2000-01,Alan Henderson,ATL,73,1807.9883333333332,298,671,0.444,0,1,0.0,173,271,0.638,180,226,406,50,51,29,126,164,769,673
2000-01,Allan Houston,NYK,78,2857.846666666667,542,1208,0.449,96,252,0.381,279,307,0.909,20,263,283,173,52,10,161,190,1459,275
2000-01,Allen Iverson,PHI,71,2976.025,762,1813,0.42,98,306,0.32,585,719,0.814,50,223,273,325,178,20,237,147,2207,947
2000-01,Alonzo Mourning,MIA,13,305.96666666666664,73,141,0.518,0,1,0.0,31,55,0.564,35,66,101,12,4,31,28,24,177,297
2000-01,Alvin Williams,TOR,82,2391.255,330,767,0.43,33,108,0.306,109,145,0.752,50,162,212,407,123,26,103,171,802,1541
2000-01,Andre Miller,CLE,82,2846.9183333333335,452,999,0.452,17,64,0.266,375,450,0.833,94,266,360,657,119,28,265,229,1296,1889
2000-01,Andrew DeClercq,ORL,67,900.0216666666666,107,193,0.554,0,0,0.0,47,82,0.573,91,145,236,32,41,33,51,198,261,692
2000-01,Andy Panko,ATL,1,0.5516666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1950
2000-01,Anfernee Hardaway,PHX,4,110.295,15,36,0.417,2,8,0.25,7,11,0.636,5,13,18,15,6,1,3,6,39,358
2000-01,Antawn Jamison,GSW,82,3393.12,800,1812,0.442,62,205,0.302,382,534,0.715,280,435,715,164,114,28,199,225,2044,1712
2000-01,Anthony Carter,MIA,72,1633.555,195,480,0.406,6,40,0.15,65,103,0.631,46,134,180,268,73,10,119,154,461,1853
2000-01,Anthony Goldwire,DEN,20,200.045,30,80,0.375,9,34,0.265,13,17,0.765,1,11,12,34,9,0,15,13,82,924
2000-01,Anthony Johnson,CLE,53,510.66833333333335,53,152,0.349,1,5,0.2,23,33,0.697,10,34,44,78,23,6,34,62,130,1533
2000-01,Anthony Mason,MIA,80,3254.9816666666666,460,954,0.482,0,0,0.0,370,474,0.781,169,601,770,248,80,25,179,231,1290,193
2000-01,Anthony Miller,PHI,4,11.483333333333333,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,2,292
2000-01,Anthony Peeler,MIN,75,2121.68,308,732,0.421,100,256,0.391,75,87,0.862,44,148,192,192,91,18,105,166,791,324
2000-01,Antoine Walker,BOS,81,3393.445,711,1720,0.413,221,603,0.367,249,348,0.716,151,568,719,445,138,49,301,251,1892,952
2000-01,Antonio Daniels,SAS,79,2062.608333333333,275,588,0.468,74,183,0.404,121,156,0.776,26,137,163,304,61,14,109,120,745,1498
2000-01,Antonio Davis,TOR,78,2731.0733333333333,375,866,0.433,0,1,0.0,319,423,0.754,274,513,787,106,22,151,135,230,1069,213
2000-01,Antonio Harvey,POR,12,71.4,13,28,0.464,0,0,0.0,5,6,0.833,5,9,14,4,1,6,3,10,31,176
2000-01,Antonio McDyess,DEN,70,2556.5866666666666,577,1165,0.495,0,0,0.0,304,434,0.7,240,605,845,146,43,102,162,220,1458,686
2000-01,Art Long,SAC,9,18.69,0,4,0.0,0,0,0.0,0,2,0.0,2,6,8,1,0,3,2,5,0,1609
