SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID
2011-12,A.J. Price,IND,44,568.3133333333334,59,174,0.339,26,88,0.295,28,35,0.8,13,48,61,86,20,2,32,30,172,201985
2011-12,Aaron Gray,TOR,49,812.725,83,161,0.516,0,0,0.0,25,47,0.532,83,198,281,27,22,17,51,127,191,201189
2011-12,Al Harrington,DEN,64,1760.985,345,773,0.446,101,303,0.333,119,176,0.676,72,318,390,88,58,12,112,181,910,1733
2011-12,Al Horford,ATL,11,347.98333333333335,57,103,0.553,0,1,0.0,22,30,0.733,26,51,77,24,10,14,16,21,136,201143
2011-12,Al Jefferson,UTA,61,2074.96,516,1048,0.492,1,4,0.25,137,177,0.774,133,452,585,134,47,101,62,155,1170,2744
2011-12,Al-Farouq Aminu,NOH,66,1477.0433333333333,150,365,0.411,13,47,0.277,86,114,0.754,95,213,308,66,59,34,91,136,399,202329
2011-12,Alan Anderson,TOR,17,460.725,55,142,0.387,24,61,0.393,29,34,0.853,8,26,34,26,5,3,25,35,163,101187
2011-12,Alec Burks,UTA,59,938.9033333333333,153,357,0.429,15,45,0.333,104,143,0.727,57,75,132,55,27,5,51,84,425,202692
2011-12,Alonzo Gee,CLE,63,1827.1316666666667,227,551,0.412,44,137,0.321,167,212,0.788,101,221,322,113,83,17,114,149,665,202087
2011-12,Amar'e Stoudemire,NYK,47,1543.22,316,654,0.483,5,21,0.238,186,243,0.765,106,261,367,52,38,45,112,138,823,2405
2011-12,Amir Johnson,TOR,64,1552.6266666666668,196,340,0.576,2,5,0.4,58,84,0.69,149,259,408,79,33,69,94,209,452,101161
2011-12,Anderson Varejao,CLE,25,784.6033333333334,114,222,0.514,0,4,0.0,43,64,0.672,109,178,287,43,35,17,45,62,271,2760
2011-12,Andray Blatche,WAS,26,626.0133333333333,93,245,0.38,2,7,0.286,33,49,0.673,42,108,150,28,20,17,37,54,221,101154
2011-12,Andre Emmett,NJN,6,44.91,4,7,0.571,0,1,0.0,5,8,0.625,2,4,6,1,2,1,2,2,13,2765
2011-12,Andre Iguodala,PHI,62,2209.105,287,632,0.454,76,193,0.394,121,196,0.617,56,325,381,339,107,30,115,92,771,2738
2011-12,Andre Miller,DEN,66,1808.9683333333332,242,552,0.438,18,83,0.217,137,169,0.811,53,168,221,441,63,9,177,133,639,1889
2011-12,Andrea Bargnani,TOR,31,1031.6916666666666,209,484,0.432,34,115,0.296,151,173,0.873,24,148,172,61,18,15,69,52,603,200745
2011-12,Andres Nocioni,PHI,11,55.65,5,20,0.25,1,6,0.167,6,11,0.545,1,13,14,1,1,1,5,4,17,2804
2011-12,Andrew Bogut,MIL,12,363.7183333333333,61,136,0.449,0,1,0.0,14,23,0.609,22,78,100,31,12,24,24,36,136,101106
2011-12,Andrew Bynum,LAL,60,2111.6366666666668,444,796,0.558,1,5,0.2,234,338,0.692,192,517,709,85,27,116,152,104,1123,101115
2011-12,Andrew Goudelock,LAL,40,418.58166666666665,68,174,0.391,28,75,0.373,11,12,0.917,5,26,31,20,4,0,21,32,175,202726
2011-12,Andris Biedrins,GSW,47,738.62,39,64,0.609,0,0,0.0,1,9,0.111,45,131,176,16,23,45,14,125,79,2740
2011-12,Antawn Jamison,CLE,65,2150.99,421,1044,0.403,91,267,0.341,185,271,0.683,123,285,408,131,51,43,90,164,1118,1712
2011-12,Anthony Carter,TOR,24,209.32333333333332,17,53,0.321,5,17,0.294,8,10,0.8,5,28,33,34,8,4,17,20,47,1853
2011-12,Anthony Morrow,NJN,62,1636.2833333333333,272,658,0.413,106,286,0.371,97,104,0.933,31,96,127,61,46,9,70,86,747,201627
2011-12,Anthony Parker,CLE,51,1280.29,141,326,0.433,50,138,0.362,35,56,0.625,10,128,138,120,38,7,50,65,367,1515
2011-12,Anthony Randolph,MIN,34,516.6816666666666,94,200,0.47,0,1,0.0,64,84,0.762,42,81,123,19,13,35,40,56,252,201576
2011-12,Anthony Tolliver,MIN,51,881.5,71,182,0.39,25,101,0.248,41,55,0.745,50,103,153,22,18,19,35,86,208,201229
2011-12,Armon Johnson,NJN,9,124.30833333333334,20,43,0.465,1,3,0.333,6,6,1.0,1,12,13,11,5,0,6,9,47,202356
2011-12,Arron Afflalo,DEN,62,2086.475,329,699,0.471,88,221,0.398,197,247,0.798,40,157,197,149,36,13,85,134,943,201167
2011-12,Austin Daye,DET,41,603.1166666666667,73,227,0.322,13,62,0.21,35,43,0.814,14,77,91,33,22,21,40,62,194,201948
2011-12,Avery Bradley,BOS,64,1368.355,200,402,0.498,22,54,0.407,62,78,0.795,34,81,115,87,43,12,75,109,484,202340
2011-12,Baron Davis,NYK,29,594.8283333333334,68,184,0.37,26,85,0.306,16,24,0.667,13,43,56,135,34,3,76,61,178,1884
2011-12,Ben Gordon,DET,52,1398.3066666666666,234,530,0.442,63,147,0.429,117,136,0.86,14,107,121,127,34,11,115,114,648,2732
2011-12,Ben Uzoh,TOR,18,369.65166666666664,35,99,0.354,0,1,0.0,11,19,0.579,19,48,67,61,17,3,19,31,81,202386
2011-12,Ben Wallace,DET,62,980.31,34,86,0.395,1,4,0.25,16,47,0.34,81,188,269,43,47,51,34,60,85,1112
2011-12,Beno Udrih,MIL,59,1079.985,146,332,0.44,17,59,0.288,39,55,0.709,26,76,102,227,37,1,77,69,348,2757
2011-12,Bismack Biyombo,CHA,63,1455.22,129,278,0.464,0,0,0.0,69,143,0.483,113,255,368,27,20,115,71,145,327,202687
2011-12,Blake Ahearn,UTA,4,30.378333333333334,4,14,0.286,2,9,0.222,0,0,0.0,0,2,2,1,0,0,5,4,10,201336
2011-12,Blake Griffin,LAC,66,2391.9066666666668,561,1022,0.549,2,16,0.125,244,468,0.521,218,499,717,210,54,48,150,216,1368,201933
2011-12,Bobby Simmons,LAC,28,418.45166666666665,28,90,0.311,20,60,0.333,4,7,0.571,17,38,55,11,15,3,10,41,80,2250
2011-12,Boris Diaw,SAS,57,1424.7916666666667,156,351,0.444,31,99,0.313,22,35,0.629,70,210,280,205,34,25,112,125,365,2564
2011-12,Brad Miller,MIN,15,145.83333333333334,9,27,0.333,7,15,0.467,10,12,0.833,4,15,19,24,4,2,12,10,35,1802
2011-12,Brandan Wright,DAL,49,791.4166666666666,144,233,0.618,0,1,0.0,52,82,0.634,62,112,174,13,22,63,21,61,340,201148
2011-12,Brandon Bass,BOS,59,1868.255,303,632,0.479,0,0,0.0,132,163,0.81,95,270,365,55,34,54,65,135,738,101138
2011-12,Brandon Jennings,MIL,66,2331.3,469,1121,0.418,129,388,0.332,193,239,0.808,49,177,226,365,104,22,146,114,1260,201943
