SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID
2004-05,Aaron McKie,PHI,68,1126.0566666666666,61,142,0.43,20,62,0.323,10,16,0.625,20,152,172,103,48,17,31,116,152,243
2004-05,Aaron Williams,TOR,42,311.5833333333333,29,63,0.46,0,0,0.0,15,17,0.882,17,43,60,8,5,8,17,70,73,1425
2004-05,Adonal Foyle,GSW,78,1700.9766666666667,156,311,0.502,0,0,0.0,40,72,0.556,165,264,429,56,26,159,58,201,352,1502
2004-05,Adrian Griffin,CHI,69,658.3666666666667,58,161,0.36,2,9,0.222,33,44,0.75,52,94,146,53,43,4,30,78,151,1559
2004-05,Al Harrington,ATL,66,2546.4483333333333,453,986,0.459,16,74,0.216,236,351,0.672,145,316,461,208,85,16,204,249,1158,1733
2004-05,Al Jefferson,BOS,71,1044.215,195,369,0.528,0,3,0.0,85,135,0.63,119,193,312,24,22,55,66,195,475,2744
2004-05,Alan Henderson,DAL,78,1196.38,116,220,0.527,0,2,0.0,41,76,0.539,164,184,348,21,29,37,49,149,273,673
2004-05,Aleksandar Radojevic,UTA,12,128.13166666666666,6,19,0.316,0,0,0.0,7,10,0.7,9,19,28,6,0,2,15,32,19,1893
2004-05,Alex Garcia,NOH,8,145.60666666666665,18,52,0.346,5,18,0.278,3,4,0.75,7,8,15,18,4,1,8,15,44,2682
2004-05,Allan Houston,NYK,20,534.225,85,205,0.415,31,80,0.388,36,43,0.837,4,19,23,42,8,2,21,40,237,275
2004-05,Allen Iverson,PHI,75,3175.858333333333,771,1818,0.424,104,338,0.308,656,786,0.835,51,248,299,596,180,9,344,140,2302,947
2004-05,Alonzo Mourning,MIA,37,703.6566666666666,100,212,0.472,0,0,0.0,82,141,0.582,53,145,198,18,8,74,57,82,282,297
2004-05,Amar'e Stoudemire,PHX,80,2884.786666666667,747,1336,0.559,3,16,0.188,583,795,0.733,219,494,713,131,77,130,189,278,2080,2405
2004-05,Anderson Varejao,CLE,54,868.7616666666667,99,193,0.513,0,2,0.0,68,127,0.535,109,148,257,27,41,38,26,122,266,2760
