SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID
1996-97,,,41,546.6466666666666,45,136,0.331,7,30,0.233,42,48,0.875,30,74,104,57,8,13,34,62,139,471
1996-97,A.C. Green,DAL,83,2558.34,234,484,0.483,1,20,0.05,128,197,0.65,222,434,656,69,70,16,74,140,597,920
1996-97,Aaron McKie,DET,83,1690.3816666666667,150,365,0.411,41,103,0.398,92,110,0.836,40,181,221,161,77,22,90,126,433,243
1996-97,Aaron Williams,VAN,33,585.8783333333333,85,148,0.574,0,1,0.0,33,49,0.673,62,81,143,15,16,29,32,66,203,1425
1996-97,Acie Earl,MIL,47,521.0833333333334,67,179,0.374,0,5,0.0,54,84,0.643,35,61,96,20,15,28,35,61,188,768
1996-97,Adam Keefe,UTA,62,955.9816666666667,82,160,0.513,0,1,0.0,71,103,0.689,75,141,216,32,30,13,45,94,235,228
1996-97,Adrian Caldwell,PHI,45,588.62,40,92,0.435,0,2,0.0,21,50,0.42,58,109,167,12,16,8,28,78,101,154
1996-97,Alan Henderson,ATL,30,517.425,77,162,0.475,0,0,0.0,45,75,0.6,47,69,116,23,21,6,29,69,199,673
1996-97,Aleksandar Djordjevic,POR,8,63.435,8,16,0.5,5,7,0.714,4,5,0.8,1,4,5,5,0,0,5,3,25,1059
1996-97,Allan Houston,NYK,81,2778.2183333333332,437,1032,0.423,148,384,0.385,175,218,0.803,43,197,240,179,41,18,167,209,1197,275
1996-97,Allen Iverson,PHI,76,3122.05,625,1504,0.416,155,455,0.341,382,544,0.702,115,197,312,567,157,24,337,221,1787,947
1996-97,Alonzo Mourning,MIA,66,2395.445,473,885,0.534,1,9,0.111,363,565,0.642,189,467,656,104,56,189,226,229,1310,297
1996-97,Alton Lister,BOS,53,534.65,32,77,0.416,0,0,0.0,23,31,0.742,66,102,168,13,8,14,30,81,87,175
1996-97,Amal McCaskill,ORL,17,111.85833333333333,10,32,0.313,0,2,0.0,8,12,0.667,4,18,22,7,3,5,11,7,28,1043
1996-97,Andrew DeClercq,GSW,71,1104.94,142,273,0.52,0,0,0.0,91,151,0.603,122,176,298,32,33,27,76,207,375,692
1996-97,Andrew Lang,MIL,52,1227.95,115,248,0.464,0,0,0.0,44,61,0.721,94,184,278,25,26,47,39,122,274,457
1996-97,Anfernee Hardaway,ORL,59,2286.53,421,941,0.447,85,267,0.318,283,345,0.82,82,181,263,332,94,35,145,121,1210,358
1996-97,Anthony Goldwire,DEN,60,1234.5933333333332,131,330,0.397,64,153,0.418,61,78,0.782,12,72,84,219,33,2,76,94,387,924
1996-97,Anthony Mason,CHH,73,3240.9966666666664,433,825,0.525,1,3,0.333,319,428,0.745,186,643,829,414,76,33,165,196,1186,193
1996-97,Anthony Miller,ATL,1,14.6,0,5,0.0,0,0,0.0,0,0,0.0,2,5,7,0,0,0,0,2,0,292
1996-97,Anthony Peeler,VAN,72,2355.25,402,1011,0.398,128,343,0.373,109,133,0.82,54,193,247,256,105,17,157,154,1041,324
1996-97,Antoine Carr,UTA,82,1527.4133333333334,252,522,0.483,0,3,0.0,99,127,0.78,60,135,195,74,24,63,75,205,603,156
1996-97,Antoine Walker,BOS,82,3069.22,577,1355,0.426,52,159,0.327,231,366,0.631,288,453,741,262,105,53,230,252,1437,952
1996-97,Antonio Davis,IND,82,2426.2283333333335,309,642,0.481,1,14,0.071,241,362,0.666,190,407,597,65,42,84,141,233,860,213
1996-97,Antonio Harvey,SEA,6,28.941666666666666,5,11,0.455,0,0,0.0,5,6,0.833,2,8,10,1,0,4,1,8,15,176
1996-97,Antonio Lang,CLE,64,883.1416666666667,68,162,0.42,0,6,0.0,35,48,0.729,52,75,127,33,33,30,50,108,171,226
1996-97,Antonio McDyess,DEN,74,2638.7966666666666,536,1157,0.463,6,35,0.171,274,387,0.708,155,382,537,106,63,126,199,250,1352,686
1996-97,Armen Gilliam,MIL,80,2123.375,246,522,0.471,0,0,0.0,199,259,0.768,136,361,497,53,61,40,105,193,691,288
1996-97,Arvydas Sabonis,POR,69,1813.3466666666666,328,658,0.498,49,132,0.371,223,287,0.777,114,433,547,146,63,84,151,171,928,717
1996-97,Ashraf Amaya,WAS,31,150.42666666666668,12,40,0.3,1,1,1.0,15,28,0.536,19,33,52,3,7,3,10,29,40,732
1996-97,Avery Johnson,SAS,76,2546.5633333333335,327,685,0.477,6,26,0.231,140,203,0.69,32,115,147,513,96,15,146,148,800,422
1996-97,B.J. Armstrong,GSW,49,1052.7433333333333,148,327,0.453,25,90,0.278,68,79,0.861,7,66,73,126,25,2,53,54,389,769
1996-97,Ben Davis,PHX,20,104.78166666666667,10,26,0.385,0,0,0.0,9,20,0.45,12,15,27,0,4,1,3,16,29,989
1996-97,Ben Wallace,WAS,34,204.77666666666667,16,46,0.348,0,0,0.0,6,20,0.3,25,33,58,2,8,11,18,27,38,1112
1996-97,Benoit Benjamin,TOR,4,44.06,5,12,0.417,0,0,0.0,3,4,0.75,3,6,9,1,1,0,2,5,13,104
1996-97,Bill Wennington,CHI,61,805.5183333333333,118,237,0.498,0,2,0.0,44,53,0.83,46,83,129,41,11,11,31,122,280,82
1996-97,Billy Owens,SAC,66,2055.6583333333333,299,640,0.467,25,72,0.347,101,145,0.697,134,258,392,187,62,25,133,185,724,182
1996-97,Bimbo Coles,GSW,51,1221.1516666666666,122,314,0.389,30,102,0.294,37,49,0.755,39,79,118,149,35,7,59,93,311,902
1996-97,Bison Dele,CHI,9,144.48666666666668,26,63,0.413,0,0,0.0,11,15,0.733,14,19,33,12,3,5,11,20,63,183
1996-97,Blue Edwards,VAN,61,1473.9933333333333,182,458,0.397,25,89,0.281,89,109,0.817,49,140,189,114,38,20,81,130,478,898
1996-97,Bo Outlaw,LAC,82,2270.6683333333335,254,417,0.609,0,8,0.0,117,232,0.504,174,280,454,157,94,142,107,213,625,448
1996-97,Bob Sura,CLE,82,2365.4766666666665,253,587,0.431,53,164,0.323,196,319,0.614,76,232,308,390,91,33,181,204,755,682
1996-97,Bobby Hurley,SAC,49,650.8366666666667,46,125,0.368,14,45,0.311,37,53,0.698,9,29,38,146,27,3,55,52,143,310
1996-97,Bobby Phills,CLE,69,2452.6066666666666,328,766,0.428,85,216,0.394,125,174,0.718,63,182,245,233,113,21,135,158,866,184
1996-97,Brad Lohaus,TOR,6,45.115,4,15,0.267,2,7,0.286,0,0,0.0,1,6,7,1,1,0,1,6,10,38
1996-97,Brent Barry,LAC,59,1133.0433333333333,155,379,0.409,56,173,0.324,76,93,0.817,30,80,110,154,51,15,76,87,442,699
1996-97,Brent Price,HOU,25,406.69,44,105,0.419,17,53,0.321,21,21,1.0,10,19,29,65,17,0,32,33,126,85
1996-97,Brent Scott,IND,16,57.135,8,17,0.471,0,0,0.0,3,6,0.5,3,6,9,3,1,1,4,14,19,1064
1996-97,Brett Szabo,BOS,70,687.1133333333333,54,121,0.446,0,1,0.0,45,61,0.738,56,109,165,17,16,32,41,113,153,1136
1996-97,Brian Evans,ORL,14,59.82333333333333,8,22,0.364,4,8,0.5,0,0,0.0,1,7,8,7,1,2,2,5,20,967
1996-97,Brian Grant,SAC,24,627.885,91,207,0.44,0,0,0.0,70,90,0.778,49,93,142,28,19,25,44,73,252,258
1996-97,Brian Shaw,ORL,77,1927.5516666666667,189,516,0.366,63,194,0.325,111,140,0.793,47,147,194,319,67,26,170,192,552,216
1996-97,Brooks Thompson,DEN,67,1090.8633333333332,162,406,0.399,97,244,0.398,24,38,0.632,18,78,96,180,55,2,87,122,445,240
1996-97,Bruce Bowen,MIA,1,0.55,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1477
1996-97,Bryant Reeves,VAN,75,2843.5616666666665,498,1025,0.486,1,11,0.091,216,307,0.704,174,436,610,160,29,67,175,254,1213,735
1996-97,Bryant Stith,DEN,52,1849.5033333333333,251,603,0.416,70,182,0.385,202,234,0.863,74,143,217,133,60,20,101,113,774,179
