SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID
2003-04,Aaron McKie,PHI,75,2116.925,265,577,0.459,75,172,0.436,84,111,0.757,45,208,253,195,85,23,103,142,689,243
2003-04,Aaron Williams,NJN,72,1335.8466666666666,172,342,0.503,1,3,0.333,105,155,0.677,101,193,294,81,34,46,89,187,450,1425
2003-04,Adonal Foyle,GSW,44,574.5683333333334,59,130,0.454,0,0,0.0,19,35,0.543,54,113,167,17,6,46,21,68,137,1502
2003-04,Adrian Griffin,HOU,19,122.095,5,18,0.278,1,2,0.5,0,4,0.0,1,18,19,10,7,2,3,17,11,1559
2003-04,Al Harrington,IND,79,2440.8633333333332,421,909,0.463,21,77,0.273,185,252,0.734,163,345,508,131,80,22,163,250,1048,1733
2003-04,Alan Henderson,ATL,6,68.07833333333333,10,21,0.476,0,0,0.0,4,6,0.667,11,10,21,2,1,2,3,1,24,673
2003-04,Alex Garcia,SAS,2,12.678333333333333,1,7,0.143,0,0,0.0,1,2,0.5,0,0,0,0,2,0,1,0,3,2682
2003-04,Allan Houston,NYK,50,1794.1733333333334,340,781,0.435,87,202,0.431,157,172,0.913,20,101,121,99,38,2,102,105,924,275
2003-04,Allen Iverson,PHI,48,2046.8416666666667,435,1125,0.387,57,199,0.286,339,455,0.745,34,144,178,324,115,5,209,87,1266,947
2003-04,Alonzo Mourning,NJN,12,215.87666666666667,33,71,0.465,0,0,0.0,30,34,0.882,8,19,27,8,2,6,10,32,96,297
2003-04,Alton Ford,HOU,9,40.41166666666667,6,11,0.545,0,0,0.0,3,6,0.5,3,8,11,3,0,1,3,9,15,2228
2003-04,Alvin Williams,TOR,56,1736.6266666666668,201,496,0.405,26,89,0.292,66,85,0.776,18,132,150,224,55,10,78,114,494,1541
