SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID
2008-09,Aaron Brooks,HOU,80,1998.2033333333334,316,783,0.404,113,309,0.366,149,172,0.866,33,124,157,238,46,8,125,152,894,201166
2008-09,Aaron Gray,CHI,56,715.01,81,167,0.485,0,1,0.0,34,59,0.576,84,136,220,46,14,18,40,135,196,201189
2008-09,Acie Law,ATL,55,559.4666666666667,52,139,0.374,9,29,0.31,49,60,0.817,6,52,58,86,11,3,29,43,162,201151
2008-09,Adam Morrison,LAL,52,711.3516666666667,80,223,0.359,32,96,0.333,17,23,0.739,18,62,80,41,9,4,32,77,209,200747
2008-09,Adonal Foyle,ORL,10,61.93333333333333,7,11,0.636,0,0,0.0,3,6,0.5,9,17,26,1,0,8,3,5,17,1502
2008-09,Al Harrington,NYK,73,2546.445,532,1212,0.439,171,470,0.364,234,295,0.793,99,356,455,102,88,22,161,227,1469,1733
2008-09,Al Horford,ATL,67,2242.505,312,594,0.525,0,1,0.0,149,205,0.727,145,479,624,163,53,95,103,190,773,201143
2008-09,Al Jefferson,MIN,50,1835.975,485,975,0.497,0,4,0.0,186,252,0.738,172,376,548,79,39,83,92,141,1156,2744
2008-09,Al Thornton,LAC,71,2654.0233333333335,469,1051,0.446,20,79,0.253,236,313,0.754,122,246,368,103,59,62,130,227,1194,201154
2008-09,Alando Tucker,PHX,30,282.3883333333333,52,121,0.43,8,23,0.348,26,33,0.788,19,12,31,12,5,1,14,14,138,201169
2008-09,Alex Acker,LAC,25,199.57833333333335,30,76,0.395,7,20,0.35,5,10,0.5,8,16,24,12,5,4,7,9,72,101165
2008-09,Alexis Ajinca,CHA,31,182.27333333333334,25,69,0.362,0,2,0.0,20,28,0.714,9,21,30,3,7,6,12,34,70,201582
2008-09,Allen Iverson,DET,57,2092.2083333333335,348,834,0.417,28,99,0.283,271,347,0.781,30,143,173,283,88,6,146,86,995,947
2008-09,Amar'e Stoudemire,PHX,53,1947.8833333333334,404,749,0.539,3,7,0.429,323,387,0.835,116,314,430,104,49,57,150,163,1134,2405
2008-09,Amir Johnson,DET,62,910.9833333333333,97,163,0.595,0,0,0.0,23,35,0.657,102,130,232,20,20,60,33,171,217,101161
2008-09,Anderson Varejao,CLE,81,2305.5266666666666,270,504,0.536,0,2,0.0,154,250,0.616,166,415,581,81,75,66,80,239,694,2760
2008-09,Andray Blatche,WAS,71,1702.5333333333333,297,630,0.471,5,21,0.238,114,162,0.704,126,252,378,118,53,74,117,211,713,101154
2008-09,Andre Brown,CHA,4,41.355,1,7,0.143,0,0,0.0,2,2,1.0,7,5,12,1,1,0,5,9,4,2810
2008-09,Andre Iguodala,PHI,82,3269.1866666666665,542,1147,0.473,80,261,0.307,377,521,0.724,92,379,471,434,131,36,222,152,1541,2738
2008-09,Andre Miller,PHI,82,2976.141666666667,492,1041,0.473,15,53,0.283,338,409,0.826,123,245,368,534,109,14,199,196,1337,1889
2008-09,Andrea Bargnani,TOR,78,2453.49,431,958,0.45,119,291,0.409,221,266,0.831,70,346,416,94,34,97,135,242,1202,200745
2008-09,Andrei Kirilenko,UTA,67,1830.8233333333333,256,570,0.449,20,73,0.274,244,311,0.785,84,235,319,175,83,77,121,127,776,1905
2008-09,Andres Nocioni,SAC,76,1991.6983333333333,299,701,0.427,124,311,0.399,145,183,0.792,54,307,361,102,39,33,113,261,867,2804
2008-09,Andrew Bogut,MIL,36,1123.7633333333333,183,317,0.577,0,0,0.0,56,98,0.571,117,252,369,72,23,37,86,130,422,101106
2008-09,Andrew Bynum,LAL,50,1446.0833333333333,281,502,0.56,0,0,0.0,152,215,0.707,137,261,398,71,18,90,85,157,714,101115
2008-09,Andris Biedrins,GSW,62,1863.1766666666667,308,533,0.578,0,1,0.0,119,216,0.551,223,470,693,121,63,96,110,236,735,2740
2008-09,Antawn Jamison,WAS,81,3095.345,674,1441,0.468,112,319,0.351,341,452,0.754,196,525,721,153,95,25,125,218,1801,1712
